text,label,FC,CC,TU,CP,R,DU,EE,FR
"Q: What is the scope of global variables?
A: The entire program or file.",5,2,2,0,0,1,0,0,1
"Q: How many comparisons does it take to find an element in a binary search tree?
A: it takes as many comparisons as the number of levels of the binary search tree. it only compares one number at each level",5,1,2,1,1,1,2,0,1
"Q: What is a linked list?
A: A linked list is one of the fundamental data structures, and can be used to implement other data structures. It consists of a sequence of nodes, each containing arbitrary data fields and one or two references (""links"") pointing to the next and/or previous nodes.",4,1,2,1,1,1,1,1,1
"Q: What is a stack?
A: a data structure that moves elements in last in first out",5,1,2,2,2,1,2,0,1
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: Private, Public, Protected, or Friend.",5,2,1,2,2,1,2,0,1
"Q: What is the role of a prototype program in problem solving?
A: It is used to let the users have a first idea of the completed program and allow the clients to evaluate the program. This can generate much feedback including software specifications and project estimations of the total project.",3,2,0,1,1,1,2,2,1
"Q: How many constructors can be created for a class?
A: As many as the programmer wants to create.",5,1,1,1,1,1,1,0,1
"Q: What is a function signature?
A: the name of the function and the arguments passed to that function",5,2,2,2,2,1,2,0,1
"Q: What is the difference between a data member and a local variable inside a member function?
A: The data member can be accessed outside of the class, whereas the local variable cannot.",4,0,0,1,2,1,0,0,1
"Q: What are the elements typically included in a class definition?
A: return type and input parameters",2,0,0,0,0,0,0,0,1
"Q: How can you implement a queue with an array?
A: Using an array for a queue, the size of the array allocated limits the size of the queue. An array based queue class must keep track of both the front and back of the queue, which may need to wrap around the array.",5,1,2,1,1,1,2,0,2
"Q: What is a queue?
A: stores a set of elements where the first element in, is the first element to be removed",5,1,2,2,2,1,1,0,1
"Q: What is a pointer?
A: It is like a variable however instead of holding data, it holds a location in memory.",4,1,2,1,2,1,2,0,1
"Q: What is the main difference between a while and a do...while statement?
A: A do...while statement's body always executes at least once.  Where as a while statement will not execute at all unless the condition for the while is true.",5,1,1,1,1,1,1,0,1
"Q: What is a variable?
A: A location in memory where value can be stored.",5,1,1,1,1,1,1,0,1
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: not answered",0,0,0,0,0,0,0,0,0
"Q: What is the advantage of linked lists over arrays?
A: Linked Lists can be of variable size, where arrays have fixed size.",5,1,1,1,1,1,2,0,1
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: By using an array of characters, you are limited to the size of the array of characters.  By declaring by type the end of the string is acknowledged by white space.",4,0,0,0,0,0,0,0,2
"Q: What are the two main functions defined by a stack?
A: Push and pop.",5,1,1,1,1,1,1,1,1
"Q: What is a recursive function?
A: a function that calls itself into a loop with a base case for a loop exit.",4,1,1,2,1,1,1,0,1
"Q: How can you implement a stack with a list?
A: You dynamicly create space as the stack grows.  The stack can be as long as you need.",2,0,0,0,0,0,0,0,1
"Q: What is the difference between a constructor and a function?
A: A constructor is a function used to initialize an object's data when it is created. It's call is made implicitly when the object is created and must be defined with the same name as the class. Constructor also cannot return a value like a function can.",5,1,1,1,1,1,1,2,1
"Q: How can an array be addressed in pointer/offset notation?
A: *(array + element)",4,2,0,2,0,1,0,0,1
"Q: In one sentence, what is the main idea implemented by selection sort?
A: It runs through and finds the lowest (or highest) value and puts it in its desired position.",4,2,0,2,0,1,0,0,1
"Q: How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?
A: the size of the first dimension does not need to be specified, but all other dimensions do.",5,1,1,1,1,1,1,0,1
"Q: What is the role of a prototype program in problem solving?
A: To get early feedback from users in early stages of development.  To show users a first idea of what the program will do/look like.  To make sure the program will meet requirements before intense programming begins.",2,1,2,1,1,1,1,2,1
"Q: What is a recursive function?
A: a recursive function is a function that during execution, calls itself over and over until a base case is reached",5,1,1,1,1,1,1,2,1
"Q: What is the main advantage of linked lists over arrays?
A: The size of array is restricted to declaration. Insertion/Deletion of values in middle of array is not possible.",5,0,0,1,2,1,0,0,1
"Q: What is the difference between a constructor and a function?
A: constructor creates the class object into memory where functions perform actions against that object",3,2,0,2,2,1,0,0,1
"Q: How can an array be addressed in pointer/offset notation?
A: First, some pointer variable must reference the first entity in the array. Any variable in the array can then be accessed by referring to that first entity's address plus some offset. i.e. ptrToArray = array;  nthEntity = *(ptrToArray + n);",5,1,1,1,1,1,1,1,1
"Q: What is the main advantage of arrays over linked lists?
A: An array is capable of accessing any part of that array based on the index. The link list must be traversed from the beginning or the end, that is, data can only be accessed if it is adjacent to the previous or next nodes.",5,1,1,1,1,1,1,1,1
"Q: How are infix expressions evaluated by computers?
A: By using parentheses to have order in the expression.",2,0,0,0,0,0,0,0,1
"Q: Where do C++ programs begin to execute?
A: At the root",2,0,0,0,0,0,0,0,1
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: public, private",5,1,1,1,1,1,1,0,1
"Q: What is the role of a header-file?
A: No",0,0,0,0,1,1,0,0,1
"Q: What are the main operations associated with a stack?
A: pop and push to remove an element and to insert an element",5,1,1,1,1,1,2,2,1
"Q: What is the advantage of linked lists over arrays?
A: Array have fixed size, in Link List are flexible for adding or deleting an element.",5,1,1,2,2,1,1,0,1
"Q: What is the inorder traversal of a binary tree?
A: the root is in the middle.  The left subtree is traversed first, then the root, and finally the right subtree.",5,1,1,1,1,1,1,0,1
"Q: What is a stack?
A: A data structure that puts elements in a list and only allows the user  access to the last element.",4,0,0,2,0,1,0,0,1
"Q: What is a stack?
A: Stores a set of elements in a particular order. Stack principle: LAST  IN  FIRST  OUT. It means: the last element inserted is the first one to be removed.",5,1,2,1,1,1,1,0,2
"Q: How are objects initialized when they are created?
A: obj. are initialized by the variables that call them, when they are created within a class.   e.i. classname objectname etc.",2,0,0,0,0,2,0,0,2
"Q: Briefly describe the divide-and-conquer paradigm.
A: Dividing a larger problem into the smallest incident of the problem and solving the smallest incident.",4,0,0,0,0,1,0,0,1
"Q: How are infix expressions evaluated by computers?
A: Infix expressions are interpreted as postfix expressions by implementing stacks.",5,2,0,2,0,1,0,0,1
"Q: What is the main disadvantage of a doubly-linked list over a basic linked list?
A: It takes up twice the storage needed.",5,2,2,0,2,1,0,0,1
"Q: What stages in the software life cycle are influenced by the testing stage?
A: refining, production, maintenance.",4,0,0,2,2,2,0,0,1
"Q: How can an array be addressed in pointer/offset notation?
A: yes *(array +offset)",4,1,0,2,0,2,0,0,2
"Q: What are the two different ways of specifying the length of an array?
A: explicitly, by declaring it in brackets (i.e. int array[50];) and implicitly, by initializing several values (i.e. int array[] = {1, 2, 3};)",5,1,1,1,1,1,1,1,1
"Q: How are arrays passed to functions?
A: by reference only",5,1,1,1,1,1,1,0,1
"Q: What does the address (&) operator return?
A: It returns the memory address of it's operand. That is, if applied to a normal variable, it gives the variable's memory address, just as a pointer variable might.",4,1,1,1,2,1,1,2,2
"Q: What is a queue?
A: A queue is a data structure that holds a set of objects, which has a FIFO (first in first out) priority.",5,1,2,1,1,1,2,0,1
"Q: What are the two different ways of specifying the length of an array?
A: one way of specifying of array is A[10] ; other way of specifying array is a[arraysize] = [1,2,3,4,5,6,7,8,9,10}",4,0,0,0,0,1,0,2,1
"Q: How can you implement a stack with an array?
A: If you use a dynamically allocated array, you must provide a destructor and copy constructor.",3,0,0,2,2,0,0,0,1
"Q: How are arrays passed to functions?
A: by reference",5,1,1,1,1,1,1,0,1
"Q: What is a stack?
A: Stacks are a type of container adaptors, specifically designed to operate in a LIFO context (last-in first-out), where elements are inserted and extracted only from the end of the container.",5,1,1,1,1,1,1,0,1
"Q: When defining a recursive function, what are possible causes for infinite recursion?
A: badly designed algorithyms. using recursion for a non recursive problem.",2,0,0,0,0,2,0,0,2
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: Doubly linked lists allow backward movement through the nodes.",4,2,0,1,2,2,0,0,1
"Q: What is the main advantage of a doubly-linked list over a basic linked list?
A: Double-linked lists require more space per node, and their elementary operations are more expensive; but they are often easier to manipulate because they allow sequential access to the list in both directions.",4,0,0,2,0,0,0,0,0
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: BIG-OH",2,0,0,0,0,0,0,0,1
"Q: What is a queue?
A: A linked list with a First In, Out structure dequeue at the head of the list enqueue at the end of the list",5,2,2,2,2,1,2,2,1
"Q: How can you implement a stack with a list?
A: Keep a pointer pointing to the last element entered at the front of  the array and move the pointer ""back"" when you delete an element.",2,0,0,2,0,1,0,0,1
"Q: What is the stack operation corresponding to the enqueue operation in queues?
A: the Push method in the stack operations.",5,1,1,1,1,1,1,0,2
"Q: What are the elements typically included in a class definition?
A: the functions and variables used when the object is defined for the class.",4,2,1,2,2,1,2,0,2
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: measuring the relationship of running an algorithm with different input sizes.",4,0,0,2,0,2,0,0,1
"Q: What are the main operations associated with a stack?
A: push and pop.",5,1,1,1,1,1,1,0,1
"Q: How are infix expressions evaluated by computers?
A: Computers cannot evaulate infix expressions, it must first convert infix to postfix expression then it can evaluate.",5,1,1,2,1,1,1,0,1
"Q: What is the height of a tree?
A: The height of a tree is the number of nodes on the longes path from the root to a leaf.",5,0,0,0,2,1,0,0,1
"Q: What is the difference between a circular linked list and a basic linked list?
A: They are passed by reference because you want the function to change the pointer",0,0,0,0,0,0,0,0,1
"Q: What is the difference between a data member and a local variable inside a member function?
A: data members   local variables are declared in a function definition’s body. they Cannot be used outside of that function body. When a function terminates, the values of its local variables are lost.",4,0,0,0,0,2,0,0,2
"Q: How are infix expressions evaluated by computers?
A: They are first converted into an equivalent postfix expression so it can be read by the computer.",5,2,0,2,0,1,0,0,2
"Q: What is the difference between an array declared as static, and one that is not?
A: An array that is not declared as static will re-initialize every time the function declaring it is called. A static array will initialize only once, at the declaration, and will store the values in it's elements throughout the duration of the program, even if the same function is called multiple times, a static array will only initialize once.",5,1,1,1,2,1,1,1,2
"Q: What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?
A: In the best case scenario of an already sorted list, insertion sort will progress once through the list.  So the number of operations is directly proportional to the number of elements in the list.  Also noted as O(n) in big o notation.",5,1,1,1,1,1,1,2,2
"Q: What are the two different ways of specifying the length of an array?
A: Specify an arrays size with a constant variable. And setting array elements with calculations.",4,0,0,0,0,0,0,0,2
"Q: What is a binary search tree?
A: a tree that is set up so that it can be easily searched for numbers based on the location compared to the previous nodes.",4,0,0,0,0,1,0,0,1
"Q: What are the two main functions defined by a stack?
A: Pop function and Push function",5,1,1,1,1,1,1,0,2
"Q: How can you implement a queue with a list?
A: temp-&gt;next= NULL;       if (front)  { (rear) -&gt; next= temp;}       else front = temp;       rear = temp;   }",4,2,0,2,0,1,2,2,1
"Q: What are the similarities between iteration and recursion?
A: Both are based on a control statement, Both involve repetition, Both involve a termination test, Both gradually approach termination, Both can occur infinitely",5,1,1,1,1,1,1,0,1
"Q: What are the main operations associated with a stack?
A: Push, Pop",5,1,1,1,1,1,1,0,1
"Q: How can you implement a queue with a list?
A: throw in data at the head and take it out at the tail",4,1,2,0,2,1,0,0,1
"Q: What does the star (*) operator return?
A: It is unary operator that returns the value of the variable located at the address",4,1,2,2,2,1,2,0,1
"Q: In one sentence, what is the main idea implemented by selection sort?
A: Selection sort searches the whole array for the largest item and puts it at the end of the array, then searches for the second largest item and puts it at the second to last spot and so on.",4,1,1,1,1,1,1,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: overloaded function simply invovles haing a method with the same name within the class. is used to implement a method for subclass which overrides in other words replaces the implementation of the super class. Overloading the concept of providing different meaning to a object based on the context of its presence. Overloading is one type of polymorphism and this is also a feature in programing.",3,0,0,0,0,0,0,0,0
"Q: What is a pointer?
A: A pointer variable contains the number of a memory address as its value, which may be null or 0, or the address of some value stored in memory.",5,1,1,1,1,1,1,2,1
"Q: How many comparisons does it take to find an element in a binary search tree?
A: it takes h comparisons, where h is the height of the tree",5,1,2,1,1,1,2,0,1
"Q: When does C++ create a default constructor?
A: When you do not provide your own constructor.",5,1,2,1,1,1,2,0,1
"Q: What is the main advantage of linked lists over arrays?
A: Elements can be inserted into a link list at any point and does not need to be resized unlike an array needs to be.",5,1,1,2,1,1,1,1,1
"Q: What is a tree?
A: A connected, undirected graph without cycles.",4,1,0,1,1,1,1,0,1
"Q: What is a pointer?
A: A variable in memory that hold the address of another memory location to which it points too",5,1,1,1,2,1,1,0,2
"Q: What are the elements typically included in a class definition?
A: Constructor, functions, and variables native to the class.",4,1,1,2,1,1,1,2,1
"Q: How are infix expressions evaluated by computers?
A: Writing arithmetic expressions is called infix notation.  This is because a binary operator (like '+') is written in between its two operands (as in ""a + b"").  There are two alternative forms of notation used in certain situations.  One is prefix notation, in which an operator is written before its operands.  In prefix notation, the sum of a and b is written ""+ a b"".  This is the notation used to write function calls in mathematics and computer science.  It is also used in the Lisp and Scheme programming languages.  In postfix notation, an operator is written after its operands.  The sum of a and b is written ""a b +"".  (You may have seen this as ""reverse Polish notation"".)  Postfix notation forms the conceptual basis for the way that arithmetic expressions are evaluated by a computer.  One important characteristic of both postfix and prefix notations is that they are unambiguous; no parentheses are needed to indicate the order of operations.",5,2,0,1,2,0,0,2,0
"Q: What is a pointer?
A: A pointer is a variable which stores the address of another variable.",5,1,1,1,1,1,1,0,1
"Q: What are the two main functions defined by a stack?
A: Push and pop are two main functions defined in a stack",5,1,1,1,1,1,1,1,1
"Q: What is a stack?
A: A data structure for storing items which are to be accessed in last-in first-out order that can be implemented in three ways.",5,2,2,1,2,2,2,0,2
"Q: How are infix expressions evaluated by computers?
A: infix expressions are converted to postfix expressions before they can be evaluated by a computer.  Operands stay in the same order.  Operators always follow the operands.",5,1,2,1,1,1,2,2,1
"Q: Where do C++ programs begin to execute?
A: in the testing phase",0,0,0,0,0,0,0,0,1
"Q: What is the difference between an array declared as static, and one that is not?
A: All elements are initialized to zero if not explicitly initialized for a static array, while a non-static array is not initialized to zero.",4,2,0,1,1,2,2,0,1
"Q: How can you implement a queue with an array?
A: an array is a type of queue with a fixed length",2,0,0,0,0,0,0,0,1
"Q: What is a queue?
A: a queue is a list of data that follows the fifo principle, an example of this would be when you get into a line at a movie theater...the first one there gets to buy a ticket first",5,1,2,2,2,1,2,1,1
"Q: What is a binary search tree?
A: A tree data structure where each node has a value, where the total order is defined on these values.  the left subtree contains only values less than the parent node, and vice versa for the right subtree.",5,2,2,1,2,1,1,0,2
"Q: What are the two different ways of specifying the length of an array?
A: You can use an initializer list, or simply tell the compiler how many elements you want in the array.  For an Initializer list:  int a[] = {10, 2, 3, -4, 5};  For an elemental declaration: int b[5];  Both arrays have 5 elements in them, but array a is already initialized.",5,1,1,2,1,1,1,1,1
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: Gives access to the caller data directly, also it allows for modifying the data.",4,1,2,1,1,1,2,0,1
"Q: What is the inorder traversal of a binary tree?
A: in order starts with the root then does right child then left child recursively",2,0,0,2,2,1,0,0,1
"Q: What is a queue?
A: An ADT whose first inserted item is the first item removed. This uses the FIFO idea where items enter a queue at its back and leave at its front.",5,1,1,1,1,1,1,2,1
"Q: What is the difference between a circular linked list and a basic linked list?
A: In a circular linked list, the last node points back to the first node, there is no NULL",5,1,1,1,1,1,1,2,1
"Q: What is the base case for a recursive implementation of merge sort?
A: if (right &gt; left)   {     mid = (right + left) / 2;     m_sort(numbers, temp, left, mid);     m_sort(numbers, temp, mid+1, right);      merge(numbers, temp, left, mid+1, right);   }",2,0,0,0,0,0,0,0,0
"Q: What is the height of a tree?
A: the height of a tree is how many levels of nodes that it has",4,2,0,2,0,1,0,0,1
"Q: How can you implement a queue with a list?
A: you use the first element in the list as the remove point for the queue and insert items at the end of the list.",5,1,2,0,2,1,2,0,1
"Q: How are linked lists passed as arguments to a function?
A: by refrenece",5,1,1,2,1,1,1,0,1
"Q: How can you implement a queue with an array?
A: By using the beginning of the array as the removal point of the queue (or beginning of the queue) and the ith element as the end of the queue.",4,0,0,2,2,1,0,0,1
"Q: How are linked lists passed as arguments to a function?
A: You pass the head pointer to a function as a reference argument.",5,1,1,1,1,1,1,0,1
"Q: What is the difference between an array declared as static, and one that is not?
A: When we declare it static the array is not destroyed after the function is over.  When an array is not declared as static, the array is created and initialized every time a function calls it.",5,1,1,1,1,1,1,0,1
"Q: What is a queue?
A: a data structure that performs operations in the order of first in first out FIFO",5,1,2,1,2,1,2,0,1
"Q: What is a stack?
A: A data structure that stores data using LIFO.",5,1,2,1,1,1,2,0,1
"Q: How can an array be addressed in pointer/offset notation?
A: Takes the number of array elements and points to each at a time",2,0,0,0,0,2,0,0,1
"Q: What are the elements typically included in a class definition?
A: The variables and function prototypes.",4,1,1,2,2,1,1,1,1
"Q: What is the main advantage of linked lists over arrays?
A: Does not have a fixed size. Linked list is able to grow as needed. The time to access an array bases list takes a contant amount of time where as an linked-base like depends on 'i'",5,1,1,2,2,2,1,2,2
"Q: How can an array be addressed in pointer/offset notation?
A: The array can act as a pointer or be referenced by a pointer.  *(arrayPtr + 3) or *(array + 3)",4,1,2,1,2,1,1,1,1
"Q: What are the access-specifiers that can be used in a C++ class definition?
A: private, public",5,1,1,1,1,1,1,0,1
"Q: What is the Euler tour traversal of a tree?
A: The Euler tour traversal of a tree is a specific way of navigating a tree that involves following the tree starting at the very top and moving along the left side of the tree first, cupping in to visit the parents of children nodes.  It allows for each node to be visited from the left, the right and the bottom.  The Euler tour first progresses to a left child if there is one, then progresses to it's parent, then it's next child, then it's parent's parent.",4,0,1,0,0,1,0,2,0
"Q: What is the difference between a constructor and a function?
A: A constructor typically used to intialize data members and allocate resources, for instance memory, files, etc.  Also a constructor cannot return values.  Functions are operations that maybe globally defined.",4,2,0,1,2,2,0,2,1
"Q: What does the sizeof operator return?
A: returns the size in bytes of the specified data",4,1,1,2,2,1,1,0,1
"Q: How are objects initialized when they are created?
A: They are initialized with a "" . "" (dot) between the constructor and the object being created.",2,0,0,0,0,2,0,0,1
"Q: What is the experimental approach for measuring the running time of an algorithm?
A: adding a time marker at the before the algorithm is called and another time marker immediately after so that you have the change in time, then you can calculate the efficiency by the speed of the computers cpu.",4,2,1,2,2,1,2,2,2
"Q: What is a binary tree?
A: A binary tree can have only two children for each node.",5,0,0,1,1,1,0,0,1
"Q: What is a variable?
A: It is a location in the computer's memory where it can be stored for use by a program.",5,2,2,1,2,1,2,0,2
"Q: What is a linked list?
A: its a list of pointers that are linked 2 each other. every pointer points to the next pointer which has the next element",4,2,0,0,0,1,0,0,2
"Q: How does the compiler handle inline functions?
A: For inline functions, the compiler creates a copy of the function's code in place so it doesn't have to make a function call and add to the function call stack.",5,1,1,1,1,1,1,2,1
"Q: How many steps does it take to search a node in a binary search tree?
A: It would take n/2 elements, given n.",2,0,0,0,0,0,0,0,1
"Q: What is the inorder traversal of a binary tree?
A: Traverses the binary tree in inorder.  It lets you visit the nodes in order according to their data values.",3,0,0,2,0,1,0,0,2
"Q: What is the main difference between strings declared using the type string versus strings declared using an array of characters?
A: string is a class in the standard library and has method that modify it. Whereas the char array is on able to be modifie by the user.",4,0,0,2,0,2,0,0,2
"Q: How many constructors can be created for a class?
A: Just one per class.",0,0,0,1,1,1,0,0,1
"Q: Where are variables declared in a C++ program?
A: Variables are usually declared at the very beginning of a C++ program, but can be declared any in the program as long as they appear before they are called upon.",4,2,2,0,2,1,2,0,1
"Q: How are objects initialized when they are created?
A: Objects are assigned a space in memory when they are created. the name given to the object points to the memory address where the objects data resides.",1,0,0,0,2,0,0,0,1
"Q: How many constructors can be created for a class?
A: It depends what type of class is being defined.  Typically you would have a constructor call for each object.",2,0,0,2,0,0,0,0,2
"Q: What is typically included in a class definition?
A: data members and member functions.",5,1,1,1,1,1,1,0,1
"Q: What is a leaf?
A: The node with degree 0.",4,0,0,0,0,1,0,0,1
"Q: What is the scope of global variables?
A: variables accessible anywhere in the program, as long as they are public.",4,0,0,0,0,2,0,0,2
"Q: What is a leaf?
A: a node with no children.",5,1,1,1,1,1,1,1,1
"Q: What is a function signature?
A: function name and parameter are called function signature.",5,2,0,1,0,1,0,0,1
"Q: What is a recursive function?
A: a function that calls itself, and which eaach calls get closer and close to the base case.",5,1,1,1,2,1,1,2,1
"Q: What is a variable?
A: A variable is the location in a computer's memory where a value can be stored for use by a program.",5,1,1,1,1,1,1,0,1
"Q: What are the similarities between iteration and recursion?
A: They both use repetition, a control or test to terminate, and both can infinitely repeat if not defined correctly.",5,1,1,1,1,1,1,0,1
"Q: How are overloaded functions differentiated by the compiler?
A: The compiler distinguishes overloaded functions by their signatures. It encodes each function identifier with the number and types of its parameters to generate type-safe linkage, which ensures the proper overloaded function is called.",5,1,1,1,1,1,1,2,1
"Q: Briefly describe the divide-and-conquer paradigm.
A: It divides the problem into singular units and works on the problem piece by piece until the problem is solved.",4,2,0,0,0,1,0,0,1
"Q: What is the scope of global variables?
A: The entire program.",4,0,0,0,0,1,0,0,1
"Q: What is the main difference between a string of characters that is read into a variable of type string versus a variable of type char[]?
A: the type char[] has a  null ('\n' ) element at the very end.",5,0,2,0,0,1,0,0,1
"Q: What is the main advantage associated with function arguments that are passed by reference?
A: The data can be modified directly instead of making a copy of the data. Improves execution time with large amounts of data.",4,1,1,1,1,1,1,2,1
"Q: What is the base case for a recursive implementation of merge sort?
A: when each half or the original array has nothing else to sort, and puts the halfs back together",2,2,0,0,0,2,0,0,2
"Q: In one sentence, what is the main idea implemented by insertion sort?
A: Every iteration of an insertion sort takes away an element from the input data, inserting it at the right position in the sorted list.",5,1,2,1,2,1,1,0,1
"Q: What is a linked list?
A: A linked list is a data structure that is not necessarily in the same contiguous memory space (such as arrays). It holds the data type and points to the next data item in the list, or in a doubly linked list also to the previous item.",5,1,1,1,1,1,1,2,1
"Q: What operations would you need to perform to find a given element on a stack?
A: StackPush() StackPop() StackIsEmpty()",3,0,0,2,0,0,0,0,1
"Q: What operations would you need to perform to find a given element on a stack?
A: You need to pop each item on the stack and compare the item.  Once the item is found, no more items need to be removed.",4,2,0,1,2,1,0,0,1
"Q: What is a tree?
A: A tree is a data structure where nodes are linked to each other in a hierarchical manner.",4,2,0,2,2,1,0,0,1
"Q: What is the difference between an array declared as static, and one that is not?
A: a static array is allocated when the program starts and is freed when the program exits but has limited scope, while an array that is not declared static is allocated and freed when it comes into and out of scope.",5,1,2,1,1,1,1,0,1
"Q: Briefly describe the divide-and-conquer paradigm.
A: You take a class and break down everything it is supposed to do into easily managed functions.",3,0,0,0,0,0,0,0,1
